credits_id	student_id	class_id	grade
1	2009003125	8872	B0
2	2009003125	8875	C+
3	2009003125	8878	C0
4	2009003125	8881	A0
5	2009003125	8884	A0
6	2009003125	8903	D0
7	2009003125	88603	C0
8	2009003125	88743	C0
9	2009003125	88871	F
10	2009003125	89191	B0
11	2009003125	89242	B0
12	2010004052	8871	D0
13	2010004052	8872	F
14	2010004052	8875	A+
15	2010004052	8878	B+
16	2010004052	8881	B0
17	2010004052	8884	C+
18	2010004052	8918	C0
19	2010004052	88341	C0
20	2010004052	88373	F
21	2010004052	88401	F
22	2010004052	88472	F
23	2010004052	88511	D0
24	2010004052	89183	D0
25	2010499349	8845	C+
26	2010499349	8848	C0
27	2010499349	8851	A0
28	2010499349	8854	A0
29	2010499349	8857	F
30	2010499349	8860	A+
31	2010499349	8916	B0
32	2010499349	88362	D0
33	2010499349	88423	B0
34	2010499349	89253	C0
35	2011004533	8872	C0
36	2011004533	8875	A0
37	2011004533	8878	A0
38	2011004533	8881	F
39	2011004533	8883	D0
40	2011004533	8884	A+
41	2011004533	8893	F
42	2011004533	88323	F
43	2011004533	88393	A0
44	2011004533	88471	A0
45	2011004533	88483	D0
46	2011004533	88561	D0
47	2011004533	88591	B0
48	2011004533	88783	B0
49	2011004533	89303	A0
50	2011004533	89312	D0
51	2011040404	8836	A0
52	2011040404	8845	F
53	2011040404	8846	A0
54	2011040404	8848	A+
55	2011040404	8851	B+
56	2011040404	8854	B0
57	2011040404	8857	C+
58	2011040404	8860	C0
59	2011040404	8862	B0
60	2011040404	8879	C0
61	2011040404	88341	D0
62	2011040404	88343	A0
63	2011040404	88393	C0
64	2011040404	88401	F
65	2011040404	88831	A0
66	2011040404	89122	F
67	2011040404	89252	C0
68	2011040404	89253	A0
69	2012004003	8832	A+
70	2012004003	8835	B+
71	2012004003	8838	B0
72	2012004003	8877	F
73	2012004003	8924	A0
74	2012004003	8927	A0
75	2012004003	8930	F
76	2012004003	88322	F
77	2012004003	88372	A0
78	2012004003	88392	C0
79	2012004003	88532	B0
80	2012004003	88592	A0
81	2012004003	88751	C0
82	2012004003	88821	A0
83	2012004003	88923	C0
84	2012004003	89282	A0
85	2012004203	8843	A+
86	2012004203	8846	A0
87	2012004203	8849	B+
88	2012004203	8852	B0
89	2012004203	8855	C+
90	2012004203	8858	C0
91	2012030303	8847	C+
92	2012030303	8850	C0
93	2012030303	8853	A0
94	2012030303	8856	A0
95	2012030303	8859	F
96	2012030303	8862	A+
97	2012030303	8871	C0
98	2012030303	8875	F
99	2012030303	88403	B0
100	2012030303	88443	D0
101	2012030303	88503	D0
102	2012030303	88522	F
103	2012030303	88672	C0
104	2012030303	88772	F
105	2012030303	88981	F
106	2012030303	88983	F
107	2012394929	8834	F
108	2012394929	8845	B+
109	2012394929	8848	B0
110	2012394929	8851	C+
111	2012394929	8854	C0
112	2012394929	8857	A0
113	2012394929	8860	A0
114	2012394929	8865	F
115	2012394929	88472	A0
116	2012394929	88493	D0
117	2012394929	88541	F
118	2012394929	88653	F
119	2012394929	88782	B0
120	2012394929	88792	F
121	2012394929	88823	B0
122	2012394929	88931	C0
123	2012394929	89183	A0
124	2013001445	8872	A0
125	2013001445	8875	A0
126	2013001445	8878	F
127	2013001445	8881	A+
128	2013001445	8884	B+
129	2013001445	8918	B0
130	2013001445	88562	C0
131	2013001445	88571	D0
132	2013001445	88713	D0
133	2013001445	88782	C0
134	2013001445	88803	D0
135	2013001445	89302	A0
136	2013004004	8847	A0
137	2013004004	8850	A0
138	2013004004	8853	F
139	2013004004	8856	A+
140	2013004004	8859	B+
141	2013004004	8862	B0
142	2013004004	8910	A0
143	2013004004	8921	F
144	2013004004	88811	B0
145	2013004004	89011	F
146	2013004004	89042	A0
